"STREET_NAME","METER_CLASS","DATE_TYPE","TIME_BAND","LAST_RATE","OCCUPANCY_PCT","PROPOSED_RATE","FINAL_RATE","ADJUSTMENT_REASON"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","12pm-3pm",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","3pm-6pm",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","6pm-Close",0.5,,0.5,0.5,""
"0-99 LILAC ST","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"0-99 LILAC ST","Commercial","Weekend","Open-12pm",1.75,,1.5,1.75,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekend","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekend","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"0-99 LILAC ST","GMP","Weekday","Open-12pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekday","12pm-3pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekday","3pm-6pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"0-99 LILAC ST","GMP","Weekend","Open-12pm",1.75,32,1.5,1.75,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekend","12pm-3pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekend","3pm-6pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"0-99 LILAC ST","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"2400-2499 CALIFORNIA ST","Commercial","Weekday","Open-12pm",3.5,,3.25,3.25,""
"2400-2499 CALIFORNIA ST","Commercial","Weekday","12pm-3pm",5.5,,5.5,5.5,""
"2400-2499 CALIFORNIA ST","Commercial","Weekday","3pm-6pm",3.25,,3,3,""
"2400-2499 CALIFORNIA ST","Commercial","Weekday","6pm-Close",1.75,,1.5,1.5,""
"2400-2499 CALIFORNIA ST","Commercial","Weekend","Open-12pm",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"2400-2499 CALIFORNIA ST","Commercial","Weekend","12pm-3pm",5.5,,5.5,5.5,""
"2400-2499 CALIFORNIA ST","Commercial","Weekend","3pm-6pm",4,,3.75,4,"Meter payment realization rate threshold applied"
"2400-2499 CALIFORNIA ST","Commercial","Weekend","6pm-Close",2.5,,2.25,2.5,"Meter payment realization rate threshold applied"
"2400-2499 CALIFORNIA ST","GMP","Weekday","Open-12pm",3.5,49,3.25,3.25,""
"2400-2499 CALIFORNIA ST","GMP","Weekday","12pm-3pm",5.5,68,5.5,5.5,""
"2400-2499 CALIFORNIA ST","GMP","Weekday","3pm-6pm",3.25,55,3,3,""
"2400-2499 CALIFORNIA ST","GMP","Weekday","6pm-Close",1.75,41,1.5,1.5,""
"2400-2499 CALIFORNIA ST","GMP","Weekend","Open-12pm",0.5,41,0.25,0.5,"Meter payment realization rate threshold applied"
"2400-2499 CALIFORNIA ST","GMP","Weekend","12pm-3pm",5.5,60,5.5,5.5,""
"2400-2499 CALIFORNIA ST","GMP","Weekend","3pm-6pm",4,53,3.75,4,"Meter payment realization rate threshold applied"
"2400-2499 CALIFORNIA ST","GMP","Weekend","6pm-Close",2.5,38,2.25,2.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekday","Open-12pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekday","3pm-6pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekday","6pm-Close",2,,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekend","Open-12pm",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekend","12pm-3pm",2.5,,2.25,2.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekend","3pm-6pm",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","Commercial","Weekend","6pm-Close",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekday","Open-12pm",2,41,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekday","12pm-3pm",2.25,47,2,2.25,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekday","3pm-6pm",2,41,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekday","6pm-Close",2,36,1.75,2,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekend","Open-12pm",0.5,44,0.25,0.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekend","12pm-3pm",2.5,56,2.25,2.5,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekend","3pm-6pm",1.25,47,1,1.25,"Meter payment realization rate threshold applied"
"300-399 08TH AVE","GMP","Weekend","6pm-Close",0.5,36,0.25,0.5,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekday","6pm-Close",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekend","Open-12pm",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekend","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekend","3pm-6pm",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","Commercial","Weekend","6pm-Close",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekday","Open-12pm",2.25,38,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekday","12pm-3pm",2.25,42,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekday","3pm-6pm",2.25,39,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekday","6pm-Close",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekend","Open-12pm",1.25,35,1,1.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekend","12pm-3pm",2.25,42,2,2.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekend","3pm-6pm",1.25,35,1,1.25,"Meter payment realization rate threshold applied"
"300-399 09TH AVE","GMP","Weekend","6pm-Close",1.25,33,1,1.25,"Meter payment realization rate threshold applied"
"400-799 CASTRO ST","Commercial","Weekday","Open-12pm",1.75,,1.75,1.75,""
"400-799 CASTRO ST","Commercial","Weekday","12pm-3pm",2.25,,2.25,2.25,""
"400-799 CASTRO ST","Commercial","Weekday","3pm-6pm",1.75,,1.75,1.75,""
"400-799 CASTRO ST","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"400-799 CASTRO ST","Commercial","Weekend","Open-12pm",1,,0.75,0.75,""
"400-799 CASTRO ST","Commercial","Weekend","12pm-3pm",2.75,,2.75,2.75,""
"400-799 CASTRO ST","Commercial","Weekend","3pm-6pm",2,,2,2,""
"400-799 CASTRO ST","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"400-799 CASTRO ST","GMP","Weekday","Open-12pm",1.75,67,1.75,1.75,""
"400-799 CASTRO ST","GMP","Weekday","12pm-3pm",2.25,73,2.25,2.25,""
"400-799 CASTRO ST","GMP","Weekday","3pm-6pm",1.75,67,1.75,1.75,""
"400-799 CASTRO ST","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"400-799 CASTRO ST","GMP","Weekend","Open-12pm",1,55,0.75,0.75,""
"400-799 CASTRO ST","GMP","Weekend","12pm-3pm",2.75,64,2.75,2.75,""
"400-799 CASTRO ST","GMP","Weekend","3pm-6pm",2,71,2,2,""
"400-799 CASTRO ST","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"4100-4199 18TH ST","Commercial","Weekday","Open-12pm",1.25,,1,1,""
"4100-4199 18TH ST","Commercial","Weekday","12pm-3pm",2.25,,2.25,2.25,""
"4100-4199 18TH ST","Commercial","Weekday","3pm-6pm",2.25,,2.25,2.25,""
"4100-4199 18TH ST","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"4100-4199 18TH ST","Commercial","Weekend","Open-12pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"4100-4199 18TH ST","Commercial","Weekend","12pm-3pm",2.25,,2.25,2.25,""
"4100-4199 18TH ST","Commercial","Weekend","3pm-6pm",2.5,,2.25,2.5,"Meter payment realization rate threshold applied"
"4100-4199 18TH ST","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"4100-4199 18TH ST","GMP","Weekday","Open-12pm",1.25,56,1,1,""
"4100-4199 18TH ST","GMP","Weekday","12pm-3pm",2.25,73,2.25,2.25,""
"4100-4199 18TH ST","GMP","Weekday","3pm-6pm",2.25,70,2.25,2.25,""
"4100-4199 18TH ST","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"4100-4199 18TH ST","GMP","Weekend","Open-12pm",2,44,1.75,2,"Meter payment realization rate threshold applied"
"4100-4199 18TH ST","GMP","Weekend","12pm-3pm",2.25,62,2.25,2.25,""
"4100-4199 18TH ST","GMP","Weekend","3pm-6pm",2.5,59,2.25,2.5,"Meter payment realization rate threshold applied"
"4100-4199 18TH ST","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"0-99 NORTON ST","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"0-99 NORTON ST","Commercial","Weekend","Open-12pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekend","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekend","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"0-99 NORTON ST","GMP","Weekday","Open-12pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekday","12pm-3pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekday","3pm-6pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"0-99 NORTON ST","GMP","Weekend","Open-12pm",2,32,1.75,2,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekend","12pm-3pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekend","3pm-6pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"0-99 NORTON ST","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"5700-5799 GEARY BLVD","Commercial","Weekday","Open-12pm",1.25,,1,1,""
"5700-5799 GEARY BLVD","Commercial","Weekday","12pm-3pm",2.75,,3,3,""
"5700-5799 GEARY BLVD","Commercial","Weekday","3pm-6pm",1.25,,1,1,""
"5700-5799 GEARY BLVD","Commercial","Weekday","6pm-Close",1.5,,1.25,1.25,""
"5700-5799 GEARY BLVD","Commercial","Weekend","Open-12pm",2,,2,2,""
"5700-5799 GEARY BLVD","Commercial","Weekend","12pm-3pm",3.75,,4,4,""
"5700-5799 GEARY BLVD","Commercial","Weekend","3pm-6pm",1.75,,1.5,1.5,""
"5700-5799 GEARY BLVD","Commercial","Weekend","6pm-Close",1,,1,1,""
"5700-5799 GEARY BLVD","GMP","Weekday","Open-12pm",1.25,48,1,1,""
"5700-5799 GEARY BLVD","GMP","Weekday","12pm-3pm",2.75,83,3,3,""
"5700-5799 GEARY BLVD","GMP","Weekday","3pm-6pm",1.25,46,1,1,""
"5700-5799 GEARY BLVD","GMP","Weekday","6pm-Close",1.5,52,1.25,1.25,""
"5700-5799 GEARY BLVD","GMP","Weekend","Open-12pm",2,65,2,2,""
"5700-5799 GEARY BLVD","GMP","Weekend","12pm-3pm",3.75,89,4,4,""
"5700-5799 GEARY BLVD","GMP","Weekend","3pm-6pm",1.75,49,1.5,1.5,""
"5700-5799 GEARY BLVD","GMP","Weekend","6pm-Close",1,63,1,1,""
"400-499 18TH AVE","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekday","6pm-Close",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekend","Open-12pm",1.5,,1.25,1.5,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekend","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekend","3pm-6pm",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","Commercial","Weekend","6pm-Close",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekday","Open-12pm",2.25,41,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekday","12pm-3pm",2.25,47,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekday","3pm-6pm",2.25,41,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekday","6pm-Close",2.25,38,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekend","Open-12pm",1.5,36,1.25,1.5,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekend","12pm-3pm",2.25,47,2,2.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekend","3pm-6pm",1.25,38,1,1.25,"Meter payment realization rate threshold applied"
"400-499 18TH AVE","GMP","Weekend","6pm-Close",1.25,40,1,1.25,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekday","Open-12pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1200-1299 20TH AVE","Commercial","Weekend","Open-12pm",1.5,,1.25,1.5,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekend","12pm-3pm",2.75,,2.5,2.75,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekend","3pm-6pm",2,,1.75,2,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"1200-1299 20TH AVE","GMP","Weekday","Open-12pm",2,46,1.75,2,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekday","12pm-3pm",2.25,55,2,2.25,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekday","3pm-6pm",2.25,45,2,2.25,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1200-1299 20TH AVE","GMP","Weekend","Open-12pm",1.5,49,1.25,1.5,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekend","12pm-3pm",2.75,55,2.5,2.75,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekend","3pm-6pm",2,48,1.75,2,"Meter payment realization rate threshold applied"
"1200-1299 20TH AVE","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 08TH AVE","Commercial","Weekday","Open-12pm",1.25,,1,1,""
"1300-1399 08TH AVE","Commercial","Weekday","12pm-3pm",2.75,,2.75,2.75,""
"1300-1399 08TH AVE","Commercial","Weekday","3pm-6pm",2,,2,2,""
"1300-1399 08TH AVE","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 08TH AVE","Commercial","Weekend","Open-12pm",0.75,,0.5,0.5,""
"1300-1399 08TH AVE","Commercial","Weekend","12pm-3pm",3.5,,3.75,3.75,""
"1300-1399 08TH AVE","Commercial","Weekend","3pm-6pm",3,,3,3,""
"1300-1399 08TH AVE","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 08TH AVE","GMP","Weekday","Open-12pm",1.25,47,1,1,""
"1300-1399 08TH AVE","GMP","Weekday","12pm-3pm",2.75,75,2.75,2.75,""
"1300-1399 08TH AVE","GMP","Weekday","3pm-6pm",2,63,2,2,""
"1300-1399 08TH AVE","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 08TH AVE","GMP","Weekend","Open-12pm",0.75,47,0.5,0.5,""
"1300-1399 08TH AVE","GMP","Weekend","12pm-3pm",3.5,85,3.75,3.75,""
"1300-1399 08TH AVE","GMP","Weekend","3pm-6pm",3,75,3,3,""
"1300-1399 08TH AVE","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 07TH AVE","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 07TH AVE","Commercial","Weekend","Open-12pm",1.5,,1.25,1.25,""
"1300-1399 07TH AVE","Commercial","Weekend","12pm-3pm",3.25,,3.25,3.25,""
"1300-1399 07TH AVE","Commercial","Weekend","3pm-6pm",2.25,,2,2,""
"1300-1399 07TH AVE","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 07TH AVE","GMP","Weekday","Open-12pm",2.25,44,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","GMP","Weekday","12pm-3pm",2.25,52,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","GMP","Weekday","3pm-6pm",2.25,43,2,2.25,"Meter payment realization rate threshold applied"
"1300-1399 07TH AVE","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"1300-1399 07TH AVE","GMP","Weekend","Open-12pm",1.5,54,1.25,1.25,""
"1300-1399 07TH AVE","GMP","Weekend","12pm-3pm",3.25,75,3.25,3.25,""
"1300-1399 07TH AVE","GMP","Weekend","3pm-6pm",2.25,57,2,2,""
"1300-1399 07TH AVE","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"2500-2599 OCEAN AVE","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekday","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekday","6pm-Close",2.25,,2.25,2.25,""
"2500-2599 OCEAN AVE","Commercial","Weekend","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekend","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekend","3pm-6pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","Commercial","Weekend","6pm-Close",2.25,,2.25,2.25,""
"2500-2599 OCEAN AVE","GMP","Weekday","Open-12pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekday","12pm-3pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekday","3pm-6pm",2.25,36,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekday","6pm-Close",2.25,,2.25,2.25,""
"2500-2599 OCEAN AVE","GMP","Weekend","Open-12pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekend","12pm-3pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekend","3pm-6pm",2.25,32,2,2.25,"Meter payment realization rate threshold applied"
"2500-2599 OCEAN AVE","GMP","Weekend","6pm-Close",2.25,,2.25,2.25,""
"3000-3099 OCEAN AVE","Commercial","Weekday","Open-12pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
"3000-3099 OCEAN AVE","Commercial","Weekday","12pm-3pm",2.25,,2,2.25,"Meter payment realization rate threshold applied"
